Daerah,Pekerjaan,Komentar
Kota Palu,Elit Politik,"pemilik saham, pertambangan, perhatian masyarakat"
Kota Palu,Birokrasi,"menaikkan pendapatan, optimis"
Kota Palu,Elit Politik,"pilkada, isu, simpati masyarakat, persoalan energi, masyarakat"
Kota Palu,Birokrasi,"mengkampanyekan, isu terkait"
Kota Palu,Elit Politik,"melibatkan semua unsur, realisasi terbatas"
Kota Palu,Birokrasi,"belum memahami, isu terkait"
Kota Palu,Elit Politik,"perhatian global, tenaga ahli, cagub"
Kota Palu,Elit Politik,"isu baru, edukasi panjang, pilkada, menarik massa"
Kota Palu,Birokrasi,belum mengetahui calon
Kota Palu,Elit Politik,"kebijakan, pro rakyat"
Kota Palu,Elit Politik,"melihat isu, program pusat"
Kota Palu,Elit Politik,"perhatian pemerintah pusat, tantangan, sosialisasi"
Kota Palu,Elit Politik,belum ada informasi
Kota Palu,Elit Politik,belum ada informasi
Kota Palu,Sipil,Money politik
Kota Palu,Birokrasi,"krisis iklim, media sosial"
Kota Palu,Birokrasi,"tidak ada, mengkampanyekan"
Kota Palu,Birokrasi,"Belum ada informasi, karena kebanyakan soal hiburan."
Kota Palu,Elit Politik,"perhatian nasional, visi-misi"
Prov Palu,Birokrasi,"non-incumbent, rekam jejak"
Prov Palu,Swasta,belum ada program
Sigi,Elit Politik,
Prov Palu,Birokrasi,"harapan, kondisi lebih baik"
Prov Palu,Birokrasi,"kandidat, harapan lebih baik"
Prov Palu,Birokrasi,COI
Prov Palu,Elit Politik,konflik kepentingan
Prov Palu,Sipil,
Sigi,Birokrasi,"elite pemerintah, lembaga bisnis"
Morowali,Elit Politik,belum mendengar
Sigi,Elit Politik,pembangunan daerah
Prov Palu,Elit Politik,conflict of interest
Prov Palu,Elit Politik,rekam jejak
Kota Palu,Elit Politik,Belum ada penyampaian visi dan misi
Kota Palu,Sipil,
Morowali Utara,Elit Politik,Belum mendengar
Kota Palu,Elit Politik,"persoalan baru, dukungan, pemerintah pusat"
Morowali,Elit Politik,Belum mendengar
Sigi,Swasta,Belum mendengar
Sigi,Elit Politik,tidak masuk dalam kewenangan Kabupaten
Kota Palu,Birokrasi,Belum mendengar
Prov Palu,Sipil,potensi conflict of interest
Sigi,Elit Politik,kerja kampanye
Sigi,Elit Politik,belum menyampaikan program
Sigi,Elit Politik,Belum mendengar
Morowali Utara,Birokrasi,Belum mendengar
Morowali,Elit Politik,Belum mendengar
Kota Palu,Elit Politik,Belum mendengar
Morowali Utara,Birokrasi,Janji kosong
Sigi,Elit Politik,Belum ada pilihan
Morowali Utara,Birokrasi,Belum mendengar
Sigi,Birokrasi,fokus pada pengembangan sektor ekonomi hijau
Morowali Utara,Birokrasi,Belum mendengar
Sigi,Birokrasi,Belum mendengar
Prov Palu,Swasta,rekam jejak lebih baik
Kota Palu,Birokrasi,Kurang menarik dibahas
Sigi,Elit Politik,Belum ada perkembangan
Prov Palu,Sipil,latar belakangnya sebagai penambang
Sigi,Elit Politik,udah memasukan 4 isu tersebut
,,belum menyampaikan
Prov Palu,Birokrasi,
Sigi,Birokrasi,Kurang mengikuti isu politik
Morowali,Elit Politik,
Kota Palu,Elit Politik,belum masuk tahapan kampanye
,,
Morowali,Birokrasi,Yakin
Sigi,Birokrasi,Terkait kelembagaan
Prov Palu,Birokrasi,delay dengan isu tambang
Sigi,Birokrasi,belum dibicarakan
Kota Palu,Birokrasi,Kurang populis
Prov Palu,Birokrasi,Isu lama diulang-ulanh
Sigi,Birokrasi,telah digaunggkan oleh salah satu calon
Sigi,Birokrasi,Salah satu calon sudah menyampaikan
Prov Palu,Sipil,pertambangan yang terjadi belum selsai
Sigi,Elit Politik,belum dibicarakan
Morowali,Elit Politik,belum mendengar
Prov Palu,Sipil,prioritas pemerintah
Prov Palu,Elit Politik,kesiapan rendah
Prov Palu,Elit Politik,latar belakang penambang
Morowali,Elit Politik,Belum mendengar 
Prov Palu,Swasta,sosialisasi tanpa realisasi
Sigi,Elit Politik,belum dibicarakan
Prov Palu,Sipil,didorong di pilkada
Morowali,Elit Politik,belum mendengar
Morowali,Elit Politik,belum paham
Prov Palu,Sipil,tidak laku di kampanya
Prov Palu,Sipil,dimanfaatkan kandidat
Kota Palu,Birokrasi,sudang dibicarakan
Morowali Utara,Birokrasi,belum mengetahui
Morowali,Elit Politik,Rekam jejak calon adalah pengusaha
Morowali Utara,Birokrasi,disediakan sosial
Morowali Utara,Birokrasi,
Prov Palu,Sipil,Pengalaman Dan kapasitas politisi kurang
Prov Palu,Swasta,calon mayoritas pelaku
Morowali,Elit Politik,latar belakang pertambangan
Sigi,Birokrasi,latar belakang paslon
Morowali,Birokrasi,belum mengetahui
Morowali,Birokrasi,belum mengetahui
Sigi,Birokrasi,ada yang lebih penting
Morowali,Birokrasi,belum mendengar
Prov Palu,Swasta,pemain isu
Sigi,Birokrasi,tidak fokus pada 4 isu
Morowali,Birokrasi,belum mendengar
Morowali,Birokrasi,belum mendengar
Morowali,Birokrasi,menunggu visi misi
Morowali,Birokrasi,belum mendengar
Morowali,Sipil,Belum ada penetapan calon
Morowali,Birokrasi,belum ada informasi
Kota Palu,Elit Politik,belum ada visi misi
Morowali,Birokrasi,belum ada
Sigi,Elit Politik,belum ada visi misi
Morowali,Elit Politik,latar belakang
Prov Palu,Sipil,harus menjadi perhatian khusus
Prov Palu,Sipil,kurang mendalami
Prov Palu,Elit Politik,kurang dibicarakan
Morowali,Birokrasi,belum ada
Morowali,Birokrasi,isu kedua
Prov Palu,Elit Politik,tergantung
Sigi,Elit Politik,membawa keuntungan
Morowali,Birokrasi,belum ada
Prov Palu,Birokrasi,rekam jejak
Sigi,Birokrasi,beluma ada visi misi
Morowali,Birokrasi,belum ada calon
Kota Palu,Birokrasi,latar belakang 
Morowali,Birokrasi,belum mendengar
Morowali,Birokrasi,belum mendengar
Morowali Utara,Birokrasi,mineral kritis
Sigi,Birokrasi,belum ada calon
Morowali Utara,Birokrasi,belum tau
Kota Palu,Elit Politik,sedikit yang peduli
Prov Palu,Sipil,sedikit yang peduli
Kota Palu,Birokrasi,belum tau
Prov Palu,Sipil,pemain isu
Sigi,Birokrasi,pertambangan
Prov Palu,Sipil,rekam jejak
Sigi,Elit Politik,dampak negatif
Prov Palu,Sipil,menguntungkan
Sigi,Birokrasi,latar belakang calon
Prov Palu,Swasta,latar belakang
Prov Palu,Birokrasi,dampak negatif
Sigi,Elit Politik,isu sering dibahas
Prov Palu,Elit Politik,kepentingan
Kota Palu,Birokrasi,komitmen
Prov Palu,Sipil,pemain isu
Prov Palu,Birokrasi,rekam jejak
Prov Palu,Sipil,calon incumbent
Prov Palu,Birokrasi,isu hangat
Kota Palu,Swasta,kurang dibutuhkan
